id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
99,CPMK32,ST171,VIDEO DAN BROADCASTING,6,4,mahasiswa mampu membuat produk digital.,CPMK32,
100,CPMK33,ST171,VIDEO DAN BROADCASTING,6,4,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
101,CPMK45,ST171,VIDEO DAN BROADCASTING,6,4,mahasiswa mampu menguraikan prinsip-prinsip multimedia,CPMK45,grouped
102,CPMK05,ST175,Komunikasi & Negosiasi,6,2,Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan,CPMK05,
103,CPMK08,ST175,Komunikasi & Negosiasi,6,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
104,CPMK08,ST178,Mixed Reality,6,4,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
106,CPMK10,ST178,Mixed Reality,6,4,Mahasiswa mampu memecahkan masalah pada industri secara inovatif,CPMK10,
108,CPMK22,ST178,Mixed Reality,6,4,Mahasiswa mampu menerapkan metode pengolahan data;,CPMK22,
110,CPMK47,ST178,Mixed Reality,6,4,Mahasiswa mampu menjelaskan jenis-jenis produk digital,CPMK47,grouped
112,CPMK08,ST176,Tugas Media Interaktif,8,4,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
113,CPMK11,ST176,Tugas Media Interaktif,8,4,Mahasiswa mampu menghasilkan produk ekonomi kreatif digital dalam bidang informatika,CPMK11,
114,CPMK33,ST176,Tugas Media Interaktif,8,4,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
115,CPMK45,ST176,Tugas Media Interaktif,8,4,mahasiswa mampu menguraikan prinsip-prinsip multimedia,CPMK45,grouped
116,CPMK33,ST177,Tugas Video & Spesial Efek,8,4,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
117,CPMK47,ST177,Tugas Video & Spesial Efek,8,4,Mahasiswa mampu menjelaskan jenis-jenis produk digital,CPMK47,
118,CPMK32,ST177,Tugas Video & Spesial Efek,8,4,mahasiswa mampu membuat produk digital.,CPMK32,grouped
119,CPMK04,ST179,Digi Preneurship,8,4,Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;,CPMK04,
120,CPMK35,ST179,Digi Preneurship,8,4,Mahasiswa Mampu menerapkan metode analisis sistem.,CPMK35,grouped
121,CPMK05,ST052,Tugas Praktek,6,2,Mahasiswa mampu menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;,CPMK05,
122,CPMK08,ST052,Tugas Praktek,6,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
123,CPMK12,ST052,Tugas Praktek,6,2,Mahasiswa mampu mendokumentasikan pemikiran dengan baik,CPMK12,grouped
