id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
87,CPMK26,ST073,Jaringan Komputer  I,3,4,Mahasiswa mampu menguasai prinsip dasar sistem jaringan komputer;,CPMK26,
88,CPMK28,ST073,Jaringan Komputer  I,3,4,Mahasiswa mampu mengkonfigurasi sistem jaringan komputer sesuai kebutuhan pengguna,CPMK28,
89,CPMK31,ST073,Jaringan Komputer  I,3,4,Mahasiswa mampu merancang infrastruktur Continous Integration / Deployment untuk otomasi proses pengembangan sistem komputer,CPMK31,
90,CPMK44,ST073,Jaringan Komputer  I,3,4,Mahasiswa mampu menguraikan konsep jaringan komputer sesuai kebutuhan pengguna,CPMK44,grouped
91,CPMK08,ST068,Algoritma & Pemrograman,1,4,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
92,CPMK35,ST068,Algoritma & Pemrograman,1,4,Mahasiswa Mampu menerapkan metode analisis sistem.,CPMK35,
93,CPMK36,ST068,Algoritma & Pemrograman,1,4,mahasiswa mampu menerapkan metode perancangan sistem,CPMK36,grouped
94,CPMK08,ST053,Skripsi,7,6,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
95,CPMK09,ST053,Skripsi,7,6,Mahasiswa mampu menerapkan ilmu pengetahuan bidang informatika untuk menyelesaikan masalah pada industri,CPMK09,
96,CPMK12,ST053,Skripsi,7,6,Mahasiswa mampu mendokumentasikan pemikiran dengan baik,CPMK12,
97,CPMK13,ST053,Skripsi,7,6,Mahasiswa mampu mengevaluasi pemikiran dan hasil karya dengan baik,CPMK13,grouped
98,CPMK10,ST046,Interaksi Manusia dan Komputer,3,2,Mahasiswa mampu memecahkan masalah pada industri secara inovatif,CPMK10,
99,CPMK17,ST046,Interaksi Manusia dan Komputer,3,2,Mahasiswa mampu melakukan evaluasi perangkat lunak pada berbagai platform digital,CPMK17,
100,CPMK35,ST046,Interaksi Manusia dan Komputer,3,2,Mahasiswa Mampu menerapkan metode analisis sistem.,CPMK35,
101,CPMK36,ST046,Interaksi Manusia dan Komputer,3,2,mahasiswa mampu menerapkan metode perancangan sistem,CPMK36,grouped
102,CPMK04,ST044,Metode Numerik,5,4,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
103,CPMK21,ST044,Metode Numerik,5,4,Mahasiswa mampu menerapkan metode analisis data;,CPMK21,
104,CPMK41,ST044,Metode Numerik,5,4,Mahasiswa mampu menerapkan teknik pengolahan data untuk menyelesaikan masalah,CPMK41,grouped
105,CPMK04,ST024,Bahasa Inggris III,3,2,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
106,CPMK06,ST024,Bahasa Inggris III,3,2,Mahasiswa menerapkan sikap profesional memimpin dalam tim dengan penuh tanggung jawab terhadap pekerjaannya;,CPMK06,
107,CPMK13,ST024,Bahasa Inggris III,3,2,Mahasiswa mampu mengevaluasi pemikiran dan hasil karya dengan baik,CPMK13,grouped
108,CPMK23,ST023,Matematika Diskret,3,2,Mahasiswa mampu menerapkan metode evaluasi data;,CPMK23,
109,CPMK40,ST023,Matematika Diskret,3,2,Mahasiswa mampu menerapkan teknik analisis data,CPMK40,grouped
110,CPMK04,ST008,Bahasa Inggris I,1,2,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
111,CPMK05,ST008,Bahasa Inggris I,1,2,"Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;
",CPMK05,
112,CPMK08,ST008,Bahasa Inggris I,1,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
113,CPMK01,ST003,Pendidikan Agama (Etika Non Muslim),1,2,"Mahasiswa mengamalkan ketaqwaan kepada Tuhan YME melalui sikap peduli serta mampu mengulang proses belajar seumur hidup (learning culture);
",CPMK01,
114,CPMK02,ST003,Pendidikan Agama (Etika Non Muslim),1,2,Mahasiswa memiliki sikap saling menghargai dengan menjalin kerja sama dengan individu yang memiliki latar belakang sosial dan budaya yang beragam (carring culture),CPMK02,
115,CPMK03,ST003,Pendidikan Agama (Etika Non Muslim),1,2,Mahasiswa memiliki sikap tanggung jawab dengan membangun integritas profesional yang berkomitmen terhadap nilai-nilai etika;,CPMK03,
116,CPMK08,ST003,Pendidikan Agama (Etika Non Muslim),1,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
117,CPMK01,ST002,Pendidikan Agama (Etika Muslim),1,2,"Mahasiswa mengamalkan ketaqwaan kepada Tuhan YME melalui sikap peduli serta mampu mengulang proses belajar seumur hidup (learning culture);
",CPMK01,
118,CPMK02,ST002,Pendidikan Agama (Etika Muslim),1,2,Mahasiswa memiliki sikap saling menghargai dengan menjalin kerja sama dengan individu yang memiliki latar belakang sosial dan budaya yang beragam (carring culture),CPMK02,
119,CPMK03,ST002,Pendidikan Agama (Etika Muslim),1,2,Mahasiswa memiliki sikap tanggung jawab dengan membangun integritas profesional yang berkomitmen terhadap nilai-nilai etika;,CPMK03,
120,CPMK08,ST002,Pendidikan Agama (Etika Muslim),1,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
121,CPMK01,ST001,Pendidikan Pancasila,1,2,"Mahasiswa mengamalkan ketaqwaan kepada Tuhan YME melalui sikap peduli serta mampu mengulang proses belajar seumur hidup (learning culture);
",CPMK01,
122,CPMK03,ST001,Pendidikan Pancasila,1,2,Mahasiswa memiliki sikap tanggung jawab dengan membangun integritas profesional yang berkomitmen terhadap nilai-nilai etika;,CPMK03,
123,CPMK08,ST001,Pendidikan Pancasila,1,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
